Type	ID	Name	Comment
2	2	Green Hat	"A basic hat that is suitable for traveling."
2	3	Luxurious Green Hat	"A basic hat that is perfect for traveling."
2	4	Bandana of Iguje	"A nice bandana which is very useful on a bad hair day."
2	5	Islamic Bandana	"A trendy bandana which is very useful on a bad hair day."
2	6	Red Beret	"A red beret that generally attracts people who understand fashion."
2	7	Red Leather Beret	"An attractive leather hat that generally commands notice from the fashion savvy."
2	8	Rodeo Hat	"Wearing this attractive hat feels like riding a horse in the dusty desert."
2	9	Luxurious Rodeo Hat	"Wearing this attractive hat feels like riding a horse in a field of lush grass."
2	10	Joker Jester	"A hat that is known for making jesters look ridiculous."
2	11	Luxurious Joker Jester	"A hat that is known for making jesters look ridiculously funny."
2	12	Venetian Hat	"A hat which makes its wearer look like a rich man."
2	13	Luxurious Venetian Hat	"A hat which makes its wearer look like a rich, sophisticated man."
2	14	Junior Cap	"A hat for normal magic school students."
2	15	Senior Cap	"A hat for more prestigious students attending magic school."
2	16	Redfield Green Hat	"A sophisticated hat for the dapper gentleman."
2	17	Redfield Black Hat	"A sophisticated hat for the dapper gentleman."
2	31	Soldier Helm	"A basic helm for Soldiers."
2	32	Iron Helm	"A blue helm with a giant horn on each side."
2	33	Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	34	Chrome Helm	"A light, yet surprisingly sturdy helm forged out of a rare metal."
2	35	Mighty Helm	"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
2	36	Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	37	Plate Helm	"The best helm: beautifully designed, and has great defense."
2	38	Durable Band	"A tough handband known for its reliable durability."
2	39	Cedric Band	"A very useful band designed by a famous swordsman."
2	40	Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	41	Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	42	Rightous Plate Helm	"A helm worn by heroes whose hearts understand the true meaning of justice."
2	61	Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	62	Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	63	Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	64	Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	65	Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	66	Velvet Hat of Witch	"A hat that contains magical energy."
2	67	Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	68	Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	69	Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	70	Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	71	Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	72	Archmage Bonnet	"A bonnet that is especially designed for advanced Muses."
2	91	Hunter Hat	"A hat which helps you in harmonizing with nature."
2	92	Criker Hat	"A light hat which is well designed for hunters."
2	93	Ranger Hat	"A nice hat for veteran hunters."
2	94	Black Pirate Hat	"A hat which is used by many pirates in the Black Sea."
2	95	Mariner's Hat	"A hat for adventurers who love seafaring."
2	96	Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	97	Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	98	Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	99	Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	100	Triggerman Head	"A mysterious hat that hitmen generally wear."
2	101	Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	102	Netherworld Hat	"A hat designed for leaders of the underworld."
2	121	Brown Turban	"A turban for new merchants."
2	122	Vibe Turban	"A turban for people who have just begun to understand economic theory."
2	123	Tamiya Goggles	"A thick, yet lightweight head covering with goggles that is favored by young peddlers."
2	124	Semiya Goggles	"A thick, yet lightweight head covering with goggles that is coveted by intermediate peddlers."
2	125	Merchant Hat	"A sophisticated head covering that is favored by well-experienced peddlers."
2	126	Rich Merchant Turban	"A sophisticated head covering that is coveted by well-experienced peddlers."
2	127	Redfield Chairman Hat	"A high-quality hat for officials."
2	128	Fishing Hat	"A hat that is perfect to wear when you are fishing in leisure."
2	129	Bomber Hat	"A hat that is designed for experienced demolition experts."
2	130	Cart Racer Goggle	"A pair of goggles designed for Cart racing."
2	131	Bourgeois Head	"A hat that is a symbol of wealth; it elicits sighs of jealousy from passerby."
2	132	Noble Lord Head	"A high quality hat that is worn by members of the aristocracy as a symbol of prestige and power."
2	151	GM Hat	""
2	152	Santa Hat	"Santa Hat which Santas love to wear, especially since sombreros and top hats get stuck in chimneys."
2	153	Traditional Korean Hat	""
2	154	Spring Flower Hat	"A hat which brings the refreshing sensation of Spring."
2	155	Swimming Cap	"A tight fitting cap that will keep your hair dry if you go for a swim."
2	156	Snorkel	"Underwater breathing apparatus for snorkeling."
2	157	Summer Beach Hat	"A cool beach hat that keeps the sun out of your eyes."
2	158	O Mark	"A special cap only used by GMs for the O/X Quiz event."
2	159	X Mark	"A special cap only used by GMs for the O/X Quiz event."
2	162	GP Cap	"Champion Cap for Great Pinoy PvP Winner!"
2	165	Pumpkin Mask	"Spooky Jack-O'-Lantern mask for Halloween Day!"
2	168	White Santa Hat	"White color Santa Hat which Santas love to wear, especially since sombreros and top hats get stuck in chimneys."
2	169	Snowboard Goggles	"Young snowboarder's goggles who likes simple but cool design."
2	176	Red Swimming Cap	"If you want to ask for Party Playing, wear this cap and appeal to others."
2	177	Green Swimming Cap	"if you want some support from others as a beginner, wear this cap and appeal to others."
2	178	Yellow Swimming Cap	"If you want to join a Clan, wear this cap and appeal to others."
2	201	False Scalp	"A cap which makes its wearer look??? bald?"
2	221	Tulip Ribbon	"A fashionable ribbon that even looks great on men."
2	222	Peacock Feather	"A peacock feather which adds an air of nobility."
2	241	Royal Crown	"A crown usually worn by royalty. It commands obedience with its shining magnificence."
2	301	Elven Islamic Bandana	"A trendy bandana which is very useful on a bad hair day."
2	302	Dark Red Beret	"A red beret that generally attracts people who understand fashion."
2	303	Elven Red Beret	"A red beret that generally attracts people who understand fashion."
2	304	Dark Red Leather Beret	"An attractive leather hat that generally commands notice from the fashion savvy."
2	305	Golden Red Leather Beret	"An attractive leather hat that generally commands notice from the fashion savvy."
2	306	Elven Red Leather Beret	"An attractive leather hat that generally commands notice from the fashion savvy."
2	307	Dark Rodeo Hat	"Wearing this attractive hat feels like riding a horse in the dusty desert."
2	308	Golden Rodeo Hat	"Wearing this attractive hat feels like riding a horse in the dusty desert."
2	309	Elven Rodeo Hat	"Wearing this attractive hat feels like riding a horse in the dusty desert."
2	310	Dark Luxurious Rodeo Hat	"Wearing this attractive hat feels like riding a horse in a field of lush grass."
2	311	Golden Luxurious Rodeo Hat	"Wearing this attractive hat feels like riding a horse in a field of lush grass."
2	312	Elven Luxurious Rodeo Hat	"Wearing this attractive hat feels like riding a horse in a field of lush grass."
2	313	Dark Joker Jester	"A hat that is known for making jesters look ridiculous."
2	314	Golden Joker Jester	"A hat that is known for making jesters look ridiculous."
2	315	Elven Joker Jester	"A hat that is known for making jesters look ridiculous."
2	316	Dark Luxurious Joker Jester	"A hat that is known for making jesters look ridiculously funny."
2	317	Golden Luxurious Joker Jester	"A hat that is known for making jesters look ridiculously funny."
2	318	Elven Luxurious Joker Jester	"A hat that is known for making jesters look ridiculously funny."
2	319	Dark Venetian Hat	"A hat which makes its wearer look like a rich man."
2	320	Golden Venetian Hat	"A hat which makes its wearer look like a rich man."
2	321	Elven Venetian Hat	"A hat which makes its wearer look like a rich man."
2	322	Dark Luxurious Venetian Hat	"A hat which makes its wearer look like a rich, sophisticated man."
2	323	Golden Luxurious Venetian Hat	"A hat which makes its wearer look like a rich, sophisticated man."
2	324	Elven Luxurious Venetian Hat	"A hat which makes its wearer look like a rich, sophisticated man."
2	325	Dark Junior Cap	"A hat for normal magic school students."
2	326	Golden Junior Cap	"A hat for normal magic school students."
2	327	Elven Junior Cap	"A hat for normal magic school students."
2	328	Dark Senior Cap	"A hat for more prestigious students attending magic school."
2	329	Golden Senior Cap	"A hat for more prestigious students attending magic school."
2	330	Golden Senior Cap	"A hat for more prestigious students attending magic school."
2	331	Elven Senior Cap	"A hat for more prestigious students attending magic school."
2	401	Soldier Helm	"A basic helm for swordsmen."
2	402	Soldier Helm	"A basic helm for swordsmen."
2	403	Soldier Helm	"A basic helm for swordsmen."
2	404	Golden Soldier Helm	"A basic helm for swordsmen."
2	405	Saint Soldier Helm	"A basic helm for swordsmen."
2	406	Legend Soldier Helm	"A basic helm for swordsmen."
2	407	Iron Helm	"A blue helm with a giant horn on each side."
2	408	Iron Helm	"A blue helm with a giant horn on each side."
2	409	Iron Helm	"A blue helm with a giant horn on each side."
2	410	Elven Iron Helm	"A blue helm with a giant horn on each side."
2	411	Saint Iron Helm	"A blue helm with a giant horn on each side."
2	412	Holy Iron Helm	"A blue helm with a giant horn on each side."
2	413	Grand Iron Helm	"A blue helm with a giant horn on each side."
2	414	Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	415	Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	416	Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	417	Elven Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	418	Saint Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	419	Holy Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	420	Grand Trunket Helm	"A helm that is very efficient in protecting its wearer's head from great impact because of its heavy weight."
2	421	Chrome Helm	"A light, yet surprisingly sturdy helm forged out of a rare metal."
2	424	Elven Chrome Helm	"A light, yet surprisingly sturdy helm forged out of a rare metal."
2	425	Saint Chrome Helm	"A light, yet surprisingly sturdy helm forged out of a rare metal."
2	426	Holy Chrome Helm	"A light, yet surprisingly sturdy helm forged out of a rare metal."
2	427	Grand Chrome Helm	"A light, yet surprisingly sturdy helm forged out of a rare metal."
2	428	Mighty Helm	"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
2	431	Elven Mighty Helm	"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
2	432	Saint Mighty Helm	"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
2	433	Holy Mighty Helm	"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
2	434	Grand Mighty Helm	"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
2	435	Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	436	Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	437	Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	438	Elven Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	439	Saint Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	440	Holy Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	441	Grand Kurash Helm	"A powerful, ornate helm which intimidates opponents."
2	442	Plate Helm	"The best helm: beautifully designed, and has great defense."
2	443	Plate Helm	"The best helm: beautifully designed, and has great defense."
2	444	Plate Helm	"The best helm: beautifully designed, and has great defense."
2	445	Golden Plate Helm	"The best helm: beautifully designed, and has great defense."
2	446	Elven Plate Helm	"The best helm: beautifully designed, and has great defense."
2	447	Saint Plate Helm	"The best helm: beautifully designed, and has great defense."
2	448	Legend Plate Helm	"The best helm: beautifully designed, and has great defense."
2	449	Durable Band	"A tough handband known for its reliable durability."
2	450	Durable Band	"A tough handband known for its reliable durability."
2	451	Durable Band	"A tough handband known for its reliable durability."
2	452	Golden Durable Band	"A tough handband known for its reliable durability."
2	453	Elven Durable Band	"A tough handband known for its reliable durability."
2	454	Saint Durable Band	"A tough handband known for its reliable durability."
2	455	Legend Durable Band	"A tough handband known for its reliable durability."
2	456	Cedric Band	"A very useful band designed by a famous swordsman."
2	457	Cedric Band	"A very useful band designed by a famous swordsman."
2	458	Cedric Band	"A very useful band designed by a famous swordsman."
2	459	Golden Cedric Band	"A very useful band designed by a famous swordsman."
2	460	Elven Cedric Band	"A very useful band designed by a famous swordsman."
2	461	Saint Cedric Band	"A very useful band designed by a famous swordsman."
2	462	Legend Cedric Band	"A very useful band designed by a famous swordsman."
2	463	Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	464	Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	465	Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	466	Golden Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	467	Elven Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	468	Saint Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	469	Legend Execution Band	"A handband worn by warriors in battle against mobs of villains."
2	470	Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	471	Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	472	Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	473	Golden Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	474	Elven Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	475	Saint Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	476	Legend Abyss Plate Helm	"A helm forged of a mysterious metal discovered at the bottom of an abyss."
2	477	Elven Rightous Plate Helm	"A helm worn by heroes whose hearts understand the true meaning of justice."
2	478	Saint Rightous Plate Helm	"A helm worn by heroes whose hearts understand the true meaning of justice."
2	479	Legend Rightous Plate Helm	"A helm worn by heroes whose hearts understand the true meaning of justice."
2	501	Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	502	Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	503	Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	504	Golden Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	505	Saint Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	506	Legend Spiritual Beret	"This hat is intended to be used by new Muses as it makes one feel calm when it is worn."
2	507	Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	508	Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	509	Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	510	Elven Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	511	Saint Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	512	Holy Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	513	Grand Green Hat of Witch	"A hat which is favored by well-experienced Mages."
2	514	Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	515	Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	516	Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	517	Elven Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	518	Saint Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	519	Holly Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	520	Grand Purple Hat of Witch	"A hat which is favored by very well-experienced Mages."
2	521	Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	522	Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	523	Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	524	Elven Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	525	Saint Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	526	Holy Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	527	Grand Violet Beret	"A fashionable beret which is favored by powerful Mages."
2	528	Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	529	Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	530	Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	531	Elven Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	532	Saint Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	533	Holy Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	534	Grand Hat of Shadow	"A hat that is rumored to cover its wearer in shadow."
2	535	Velvet Hat of Witch	"A hat that contains magical energy."
2	536	Velvet Hat of Witch	"A hat that contains magical energy."
2	537	Velvet Hat of Witch	"A hat that contains magical energy."
2	538	Elven Velvet Hat of Witch	"A hat that contains magical energy."
2	539	Saint Velvet Hat of Witch	"A hat that contains magical energy."
2	540	Holy Velvet Hat of Witch	"A hat that contains magical energy."
2	541	Grand Velvet Hat of Witch	"A hat that contains magical energy."
2	542	Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	543	Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	544	Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	545	Golden Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	546	Elven Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	547	Saint Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	548	Legend Heaven's Bonnet	"A hat which is said to be worn by those from heaven."
2	549	Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	550	Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	551	Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	552	Golden Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	553	Elven Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	554	Saint Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	555	Legend Fairy Bonnet	"A lovely bonnet crafted by Arua's Fairy."
2	556	Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	557	Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	558	Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	559	Golden Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	560	Elven Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	561	Saint Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	562	Legend Joker Bonnet	"A hat that is typically worn by cheaters and confidence men."
2	563	Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	564	Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	565	Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	566	Golden Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	567	Elven Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	568	Saint Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	569	Legend Mystic Weaver Bonnet	"A bonnet that is designed for intermediate level Muses."
2	570	Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	571	Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	572	Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	573	Golden Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	574	Elven Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	575	Saint Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	576	Legend Serenity Bonnet	"A bonnet that helps one to relax and focus, simply by wearing it."
2	577	Elven Archmage Bonnet	"A bonnet that is especially designed for advanced Muses."
2	578	Saint Archmage Bonnet	"A bonnet that is especially designed for advanced Muses."
2	579	Legend Archmage Bonnet	"A bonnet that is especially designed for advanced Muses."
2	601	Hunter Hat	"A hat which helps you in harmonizing with nature."
2	602	Hunter Hat	"A hat which helps you in harmonizing with nature."
2	603	Hunter Hat	"A hat which helps you in harmonizing with nature."
2	604	Golden Hunter Hat	"A hat which helps you in harmonizing with nature."
2	605	Saint Hunter Hat	"A hat which helps you in harmonizing with nature."
2	606	Legend Hunter Hat	"A hat which helps you in harmonizing with nature."
2	607	Criker Hat	"A light hat which is well designed for hunters."
2	608	Criker Hat	"A light hat which is well designed for hunters."
2	609	Criker Hat	"A light hat which is well designed for hunters."
2	610	Elven Criker Hat	"A light hat which is well designed for hunters."
2	611	Saint Criker Hat	"A light hat which is well designed for hunters."
2	612	Holy Criker Hat	"A light hat which is well designed for hunters."
2	613	Grand Criker Hat	"A light hat which is well designed for hunters."
2	614	Ranger Hat	"A splendid hat for well-experienced hunters."
2	615	Ranger Hat	"A splendid hat for well-experienced hunters."
2	616	Ranger Hat	"A splendid hat for well-experienced hunters."
2	617	Elven Ranger Hat	"A splendid hat for well-experienced hunters."
2	618	Saint Ranger Hat	"A splendid hat for well-experienced hunters."
2	619	Holy Ranger Hat	"A splendid hat for well-experienced hunters."
2	620	Grand Ranger Hat	"A splendid hat for well-experienced hunters."
2	621	Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	622	Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	623	Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	624	Elven Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	625	Saint Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	626	Holy Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	627	Grand Black Pirate Hat	"A hat which is used by many pirates in the Black Sea"
2	628	Mariner's Hat	"A hat for adventurers who love seafaring."
2	629	Mariner's Hat	"A hat for adventurers who love seafaring."
2	630	Mariner's Hat	"A hat for adventurers who love seafaring."
2	631	Elven Mariner's Hat	"A hat for adventurers who love seafaring."
2	632	Saint Mariner's Hat	"A hat for adventurers who love seafaring."
2	633	Holy Mariner's Hat	"A hat for adventurers who love seafaring."
2	634	Grand Mariner's Hat	"A hat for adventurers who love seafaring."
2	635	Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	636	Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	637	Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	638	Elven Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	639	Saint Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	640	Holy Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	641	Grand Jaguar Hat	"A hat which lends you the speed of the jaguar, supposedly."
2	642	Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	643	Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	644	Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	645	Golden Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	646	Elven Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	647	Saint Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	648	Legend Wild Hawker Hat	"A necessity for the ultimate Hawker!"
2	649	Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	650	Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	651	Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	652	Golden Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	653	Elven Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	654	Saint Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	655	Legend Pirate Hood	"A kerchief worn on the head in the same fashion as a bloodthirsty pirate."
2	656	Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	657	Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	658	Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	659	Golden Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	660	Elven Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	661	Saint Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	662	Legend Silentwalker Head	"A hat that is worn by those that specialize in stealth and espionage."
2	663	Triggerman Head	"A mysterious hat that hitmen generally wear."
2	664	Triggerman Head	"A mysterious hat that hitmen generally wear."
2	665	Triggerman Head	"A mysterious hat that hitmen generally wear."
2	666	Golden Triggerman Head	"A mysterious hat that hitmen generally wear."
2	667	Elven Triggerman Head	"A mysterious hat that hitmen generally wear."
2	668	Saint Triggerman Head	"A mysterious hat that hitmen generally wear."
2	669	Legend Triggerman Head	"A mysterious hat that hitmen generally wear."
2	670	Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	671	Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	672	Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	673	Golden Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	674	Elven Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	675	Saint Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	676	Legend Captain Hawker Hat	"A hat which is the mark of a truly great captain."
2	677	Elven Netherworld Hat	"A hat designed for leaders of the underworld."
2	678	Saint Netherworld Hat	"A hat designed for leaders of the underworld."
2	679	Legend Netherworld Hat	"A hat designed for leaders of the underworld."
2	701	Brown Turban	"A turban for new merchants."
2	702	Brown Turban	"A turban for new merchants."
2	703	Brown Turban	"A turban for new merchants."
2	704	Golden Brown Turban	"A turban for new merchants."
2	705	Saint Brown Turban	"A turban for new merchants."
2	706	Legend Brown Turban	"A turban for new merchants."
2	707	Vibe Turban	"A turban for people who have just begun to understand economic theory."
2	708	Vibe Turban	"A turban for people who have just begun to understand economic theory."
2	709	Vibe Turban	"A turban for people who have just begun to understand economic theory."
